#,name,asof,volume,close_usd,sector_level1,sector_level2,mktcap_usd
10435,Facebook Class A ,2023-06-02,19416930,272.61011000000002,Technology,Software & IT Services,681525275000
10436,Facebook Class A ,2023-06-05,20742946,271.38990000000001,Technology,Software & IT Services,678474750000
10437,Facebook Class A ,2023-06-06,19419012,271.12011999999999,Technology,Software & IT Services,677800300000
10438,Facebook Class A ,2023-06-07,26163629,263.6001,Technology,Software & IT Services,659000250000
10439,Facebook Class A ,2023-06-08,20899360,264.58008000000001,Technology,Software & IT Services,661450200000
10440,Facebook Class A ,2023-06-09,16949793,264.94995999999998,Technology,Software & IT Services,662374900000
10441,Facebook Class A ,2023-06-12,15471704,271.05005,Technology,Software & IT Services,677625125000
10442,Facebook Class A ,2023-06-13,16164024,271.32006999999999,Technology,Software & IT Services,678300175000
10443,Facebook Class A ,2023-06-14,19175067,273.3501,Technology,Software & IT Services,683375250000
10444,Facebook Class A ,2023-06-15,25973454,281.83008000000001,Technology,Software & IT Services,704575200000
10445,Facebook Class A ,2023-06-16,43127731,281,Technology,Software & IT Services,702500000000
10446,Facebook Class A ,2023-06-19,0,281,Technology,Software & IT Services,702500000000
10447,Facebook Class A ,2023-06-20,20701590,284.33008000000001,Technology,Software & IT Services,710825200000
10448,Facebook Class A ,2023-06-21,20556172,281.63990000000001,Technology,Software & IT Services,704099750000
10449,Facebook Class A ,2023-06-22,17563063,284.87988999999999,Technology,Software & IT Services,712199725000
10450,Facebook Class A ,2023-06-23,51092040,288.72998999999999,Technology,Software & IT Services,721824975000
10451,Facebook Class A ,2023-06-26,23945231,278.46998000000002,Technology,Software & IT Services,696174950000
10452,Facebook Class A ,2023-06-27,26108262,287.05005,Technology,Software & IT Services,717625125000
10453,Facebook Class A ,2023-06-28,16722118,285.29003999999998,Technology,Software & IT Services,713225100000
10454,Facebook Class A ,2023-06-29,15395692,281.53003000000001,Technology,Software & IT Services,703825075000
10455,Facebook Class A ,2023-06-30,19694872,286.97998999999999,Technology,Software & IT Services,717449975000
10456,Facebook Class A ,2023-07-03,8629270,286.02001999999999,Technology,Software & IT Services,715050050000
10457,Facebook Class A ,2023-07-04,0,286.02001999999999,Technology,Software & IT Services,715050050000
10458,Facebook Class A ,2023-07-05,33865458,294.37011999999999,Technology,Software & IT Services,735925300000
10459,Facebook Class A ,2023-07-06,47733829,291.99,Technology,Software & IT Services,729975000000
10460,Facebook Class A ,2023-07-07,25585977,290.53003000000001,Technology,Software & IT Services,726325075000
10461,Facebook Class A ,2023-07-10,37058305,294.1001,Technology,Software & IT Services,735250250000
10462,Facebook Class A ,2023-07-11,27585918,298.29003999999998,Technology,Software & IT Services,745725100000
10463,Facebook Class A ,2023-07-12,36677129,309.34008999999998,Technology,Software & IT Services,773350225000
10464,Facebook Class A ,2023-07-13,30280973,313.40992,Technology,Software & IT Services,783524800000
10465,Facebook Class A ,2023-07-14,23054110,308.87011999999999,Technology,Software & IT Services,772175300000
10466,Facebook Class A ,2023-07-17,25323125,310.62011999999999,Technology,Software & IT Services,776550300000
10467,Facebook Class A ,2023-07-18,20764579,312.05005,Technology,Software & IT Services,780125125000
10468,Facebook Class A ,2023-07-19,21763688,316.01001000000002,Technology,Software & IT Services,790025025000
10469,Facebook Class A ,2023-07-20,23836875,302.52001999999999,Technology,Software & IT Services,756300050000
10470,Facebook Class A ,2023-07-21,42139258,294.26001000000002,Technology,Software & IT Services,735650025000
10471,Facebook Class A ,2023-07-24,24949407,291.61011000000002,Technology,Software & IT Services,729025275000
10472,Facebook Class A ,2023-07-25,19585586,294.46998000000002,Technology,Software & IT Services,736174950000
10473,Facebook Class A ,2023-07-26,47256930,298.57006999999999,Technology,Software & IT Services,746425175000
10474,Facebook Class A ,2023-07-27,64229172,311.70997,Technology,Software & IT Services,779274925000
10475,Facebook Class A ,2023-07-28,39220270,325.47998999999999,Technology,Software & IT Services,813699975000
10476,Facebook Class A ,2023-07-31,25799602,318.6001,Technology,Software & IT Services,796500250000
10477,Facebook Class A ,2023-08-01,22889872,322.70997,Technology,Software & IT Services,806774925000
10478,Facebook Class A ,2023-08-02,20461094,314.31006000000002,Technology,Software & IT Services,785775150000
10479,Facebook Class A ,2023-08-03,15215422,313.18995000000001,Technology,Software & IT Services,782974875000
10480,Facebook Class A ,2023-08-04,17612762,310.72998999999999,Technology,Software & IT Services,776824975000
10481,Facebook Class A ,2023-08-07,16236504,316.56006000000002,Technology,Software & IT Services,791400150000
10482,Facebook Class A ,2023-08-08,15183532,312.63990000000001,Technology,Software & IT Services,781599750000
10483,Facebook Class A ,2023-08-09,19955782,305.20997,Technology,Software & IT Services,763024925000
10484,Facebook Class A ,2023-08-10,14358899,305.74,Technology,Software & IT Services,764350000000
10485,Facebook Class A ,2023-08-11,14046250,301.63990000000001,Technology,Software & IT Services,754099750000
10486,Facebook Class A ,2023-08-14,15641922,306.18995000000001,Technology,Software & IT Services,765474875000
10487,Facebook Class A ,2023-08-15,11623614,301.94995999999998,Technology,Software & IT Services,754874900000
10488,Facebook Class A ,2023-08-16,18547743,294.29003999999998,Technology,Software & IT Services,735725100000
10489,Facebook Class A ,2023-08-17,23950090,285.09008999999998,Technology,Software & IT Services,712725225000
10490,Facebook Class A ,2023-08-18,35347926,283.25,Technology,Software & IT Services,708125000000
10491,Facebook Class A ,2023-08-21,20181477,289.89990999999998,Technology,Software & IT Services,724749775000
10492,Facebook Class A ,2023-08-22,12999915,287.6001,Technology,Software & IT Services,719000250000
10493,Facebook Class A ,2023-08-23,18287000,294.24,Technology,Software & IT Services,735600000000
10494,Facebook Class A ,2023-08-24,18360883,286.75,Technology,Software & IT Services,716875000000
10495,Facebook Class A ,2023-08-25,23701442,285.5,Technology,Software & IT Services,713750000000
10496,Facebook Class A ,2023-08-28,14239286,290.26001000000002,Technology,Software & IT Services,725650025000
10497,Facebook Class A ,2023-08-29,20844524,297.99,Technology,Software & IT Services,744975000000
10498,Facebook Class A ,2023-08-30,17717024,295.1001,Technology,Software & IT Services,737750250000
10499,Facebook Class A ,2023-08-31,17229864,295.88990000000001,Technology,Software & IT Services,739724750000
10500,Facebook Class A ,2023-09-01,12842258,296.37988999999999,Technology,Software & IT Services,740949725000
10501,Facebook Class A ,2023-09-04,0,296.37988999999999,Technology,Software & IT Services,740949725000
10502,Facebook Class A ,2023-09-05,14955989,300.14990999999998,Technology,Software & IT Services,750374775000
10503,Facebook Class A ,2023-09-06,15418094,299.16993000000002,Technology,Software & IT Services,747924825000
10504,Facebook Class A ,2023-09-07,33748739,298.66993000000002,Technology,Software & IT Services,746674825000
10505,Facebook Class A ,2023-09-08,17572204,297.88990000000001,Technology,Software & IT Services,744724750000
10506,Facebook Class A ,2023-09-11,19489329,307.56006000000002,Technology,Software & IT Services,768900150000
10507,Facebook Class A ,2023-09-12,13480399,301.65992,Technology,Software & IT Services,754149800000
10508,Facebook Class A ,2023-09-13,13210915,305.06006000000002,Technology,Software & IT Services,762650150000
10509,Facebook Class A ,2023-09-14,19343102,311.71998000000002,Technology,Software & IT Services,779299950000
10510,Facebook Class A ,2023-09-15,28131141,300.31006000000002,Technology,Software & IT Services,750775150000
10511,Facebook Class A ,2023-09-18,14234157,302.55005,Technology,Software & IT Services,756375125000
10512,Facebook Class A ,2023-09-19,15931618,305.07006999999999,Technology,Software & IT Services,762675175000
10513,Facebook Class A ,2023-09-20,19379516,299.66993000000002,Technology,Software & IT Services,749174825000
10514,Facebook Class A ,2023-09-21,21319583,295.72998999999999,Technology,Software & IT Services,739324975000
10515,Facebook Class A ,2023-09-22,25369594,299.08008000000001,Technology,Software & IT Services,747700200000
10516,Facebook Class A ,2023-09-25,18987016,300.83008000000001,Technology,Software & IT Services,752075200000
10517,Facebook Class A ,2023-09-26,19417161,298.95997,Technology,Software & IT Services,747399925000
10518,Facebook Class A ,2023-09-27,36429836,297.74,Technology,Software & IT Services,744350000000
10519,Facebook Class A ,2023-09-28,22167075,303.95997,Technology,Software & IT Services,759899925000
10520,Facebook Class A ,2023-09-29,25373696,300.20997,Technology,Software & IT Services,750524925000
10521,Facebook Class A ,2023-10-02,16265571,306.82006999999999,Technology,Software & IT Services,767050175000
10522,Facebook Class A ,2023-10-03,17362250,300.93995000000001,Technology,Software & IT Services,752349875000
10523,Facebook Class A ,2023-10-04,16880485,305.58008000000001,Technology,Software & IT Services,763950200000
10524,Facebook Class A ,2023-10-05,19129958,304.79003999999998,Technology,Software & IT Services,761975100000
10525,Facebook Class A ,2023-10-06,21803856,315.42993999999999,Technology,Software & IT Services,788574850000
10526,Facebook Class A ,2023-10-09,22503661,318.36011000000002,Technology,Software & IT Services,795900275000
10527,Facebook Class A ,2023-10-10,19037973,321.84008999999998,Technology,Software & IT Services,804600225000
10528,Facebook Class A ,2023-10-11,22036297,327.82006999999999,Technology,Software & IT Services,819550175000
10529,Facebook Class A ,2023-10-12,20530520,324.15992,Technology,Software & IT Services,810399800000
10530,Facebook Class A ,2023-10-13,21360790,314.68995000000001,Technology,Software & IT Services,786724875000
10531,Facebook Class A ,2023-10-16,16536114,321.14990999999998,Technology,Software & IT Services,802874775000
10532,Facebook Class A ,2023-10-17,16387801,324,Technology,Software & IT Services,810000000000
10533,Facebook Class A ,2023-10-18,16851004,316.96998000000002,Technology,Software & IT Services,792424950000
10534,Facebook Class A ,2023-10-19,18709161,312.81006000000002,Technology,Software & IT Services,782025150000
10535,Facebook Class A ,2023-10-20,22312274,308.64990999999998,Technology,Software & IT Services,771624775000
10536,Facebook Class A ,2023-10-23,17796786,314.01001000000002,Technology,Software & IT Services,785025025000
10537,Facebook Class A ,2023-10-24,19525489,312.55005,Technology,Software & IT Services,781375125000
10538,Facebook Class A ,2023-10-25,42192473,299.53003000000001,Technology,Software & IT Services,748825075000
10539,Facebook Class A ,2023-10-26,66684125,288.3501,Technology,Software & IT Services,720875250000
10540,Facebook Class A ,2023-10-27,29596258,296.72998999999999,Technology,Software & IT Services,741824975000
10541,Facebook Class A ,2023-10-30,28435055,302.65992,Technology,Software & IT Services,756649800000
10542,Facebook Class A ,2023-10-31,19434168,301.27001999999999,Technology,Software & IT Services,753175050000
10543,Facebook Class A ,2023-11-01,20434579,311.8501,Technology,Software & IT Services,779625250000
10544,Facebook Class A ,2023-11-02,21631821,310.87011999999999,Technology,Software & IT Services,777175300000
10545,Facebook Class A ,2023-11-03,16764317,314.6001,Technology,Software & IT Services,786500250000
10546,Facebook Class A ,2023-11-06,12887700,315.80005,Technology,Software & IT Services,789500125000
10547,Apple,2001-04-12,597631760,0.200179,Technology,Technology Equipment,3102768959.8600001
10548,Apple,2001-04-13,0,0.200179,Technology,Technology Equipment,3102768959.8600001
10549,Apple,2001-04-16,570449034,0.19142899999999999,Technology,Technology Equipment,2967142383.29
10550,Apple,2001-04-17,1362378430,0.182143,Technology,Technology Equipment,2823214584.6399999
10551,Apple,2001-04-18,2228205508,0.203482,Technology,Technology Equipment,3153973645.52
10552,Apple,2001-04-19,3748246500,0.22964300000000001,Technology,Technology Equipment,3559463772
10553,Apple,2001-04-20,1386839444,0.22357099999999999,Technology,Technology Equipment,3465357698.6399999
10554,Apple,2001-04-23,1083061854,0.21651799999999999,Technology,Technology Equipment,3356028128.1199999
10555,Apple,2001-04-24,754084386,0.21455399999999999,Technology,Technology Equipment,3325581548.98
10556,Apple,2001-04-25,660799734,0.22071399999999999,Technology,Technology Equipment,3421070859.5
10557,Apple,2001-04-26,1599415360,0.220446,Technology,Technology Equipment,3416919348.9099998
10558,Apple,2001-04-27,930764202,0.233929,Technology,Technology Equipment,3625893892.3200002
10559,Apple,2001-04-30,989720868,0.22758900000000001,Technology,Technology Equipment,3527634094.0900002
10560,Apple,2001-05-01,854637946,0.231518,Technology,Technology Equipment,3588527252.3699999
10561,Apple,2001-05-02,727685996,0.23741100000000001,Technology,Technology Equipment,3679867128.1999998
10562,Apple,2001-05-03,603142046,0.222857,Technology,Technology Equipment,3454285988.8600001
10563,Apple,2001-05-04,560526062,0.229911,Technology,Technology Equipment,3563617496.8800001
10564,Apple,2001-05-07,553100466,0.222857,Technology,Technology Equipment,3454285988.8600001
10565,Apple,2001-05-08,630895746,0.21937499999999999,Technology,Technology Equipment,3400312891.3699999
10566,Apple,2001-05-09,649778716,0.21410699999999999,Technology,Technology Equipment,3318661488.1799998
10567,Apple,2001-05-10,578042744,0.20535700000000001,Technology,Technology Equipment,3183036987.5
10568,Apple,2001-05-11,406167836,0.204018,Technology,Technology Equipment,3162276805.0900002
10569,Alphabet Class C,2017-11-29,49188500,51.083019999999998,Technology,Software & IT Services,291173216150.19
10570,Alphabet Class C,2017-11-30,34480606,51.070520000000002,Technology,Software & IT Services,291101966121.77002
10571,Alphabet Class C,2017-12-01,38191304,50.508519999999997,Technology,Software & IT Services,287898564843.91998
10572,Alphabet Class C,2017-12-04,38128764,49.934016999999997,Technology,Software & IT Services,284623896437.64001
10573,Alphabet Class C,2017-12-05,41346343,50.25752,Technology,Software & IT Services,286467864273.20001
10574,Alphabet Class C,2017-12-06,25439269,50.919015000000002,Technology,Software & IT Services,290238387277.28003
10575,Alphabet Class C,2017-12-07,29164828,51.546520999999998,Technology,Software & IT Services,293815167204.07001
10576,Alphabet Class C,2017-12-08,25815469,51.852525999999997,Technology,Software & IT Services,295559396399.84998
10577,Alphabet Class C,2017-12-11,23856750,52.055025999999998,Technology,Software & IT Services,296713646860.28998
10578,Alphabet Class C,2017-12-12,25593169,52.024020999999998,Technology,Software & IT Services,296536918289.78998
10579,Alphabet Class C,2017-12-13,25653529,52.030531000000003,Technology,Software & IT Services,296574025304.59003
10580,Alphabet Class C,2017-12-14,31176687,52.457521,Technology,Software & IT Services,299007869275.46002
10581,Alphabet Class C,2017-12-15,65518593,53.209521000000002,Technology,Software & IT Services,303294270985.33002
10582,Alphabet Class C,2017-12-18,31091027,53.857016000000002,Technology,Software & IT Services,306984993957.57001
10583,Alphabet Class C,2017-12-19,26774489,53.534021000000003,Technology,Software & IT Services,305143921723.15997
10584,Alphabet Class C,2017-12-20,25371629,53.247520999999999,Technology,Software & IT Services,303510871071.72998
10585,Alphabet Class C,2017-12-21,19914052,53.181516000000002,Technology,Software & IT Services,303134642421.65002
10586,Alphabet Class C,2017-12-22,15101893,53.006031,Technology,Software & IT Services,302134377522.64001
10587,Alphabet Class C,2017-12-25,0,53.006031,Technology,Software & IT Services,302134377522.64001
10588,Alphabet Class C,2017-12-26,15224733,52.837021,Technology,Software & IT Services,301171020138.34998
10589,Alphabet Class C,2017-12-27,25438209,52.468530999999999,Technology,Software & IT Services,299070626300.5
10590,Alphabet Class C,2017-12-28,16742413,52.407015999999999,Technology,Software & IT Services,298719990660.63
10591,Alphabet Class C,2017-12-29,17750212,52.320020999999997,Technology,Software & IT Services,298224118962.82001
10592,Alphabet Class C,2018-01-01,0,52.320020999999997,Technology,Software & IT Services,298224118962.82001
10593,Alphabet Class C,2018-01-02,24751270,53.250020999999997,Technology,Software & IT Services,303525121077.40997
10594,Alphabet Class C,2018-01-03,28603388,54.124021999999997,Technology,Software & IT Services,308506923064.66998
10595,Alphabet Class C,2018-01-04,20092091,54.320022000000002,Technology,Software & IT Services,309624123510.33002
10596,Alphabet Class C,2018-01-05,25582449,55.111522000000001,Technology,Software & IT Services,314135675310.01001
10597,Alphabet Class C,2018-01-08,20952051,55.347022000000003,Technology,Software & IT Services,315478025845.47998
